British name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,Thumbnail,Images,Description
Eastern Orphean Warbler,,Curruca crassirostris,A,†,,,,,
Asian Desert Warbler,,Curruca nana,A,†,,,,,
Rüppell's Warbler,,Curruca ruppeli,A,†,,,,,
Sardinian Warbler,,Curruca melanocephala,A,†,,,,,
Western Subalpine Warbler,,Curruca iberiae,A,†,,,,,
Moltoni's Subalpine Warbler,Moltoni's Warbler,Curruca subalpina,A,†,,,,,
Eastern Subalpine Warbler,,Curruca cantillans,A,†,,,,,
Whitethroat,Common Whitethroat,Curruca communis,A,,,,,,
Spectacled Warbler,,Curruca conspicillata,A,†,,,,,
Marmora's Warbler,,Curruca sarda,A,†,,,,,
Dartford Warbler,,Curruca undata,A,,,,,,
Firecrest,Common Firecrest,Regulus ignicapilla,A,,,,,,
Goldcrest,,Regulus regulus,A,,,,,,
Wren,Eurasian Wren,Troglodytes troglodytes,A,,,,,,
Red-breasted Nuthatch,,Sitta canadensis,A,†,,,,,
Nuthatch,Eurasian Nuthatch,Sitta europaea,A,,,,,,
Wallcreeper,,Tichodroma muraria,A,†,,,,,
Treecreeper,Eurasian Treecreeper,Certhia familiaris,A,‡,,,,,
Short-toed Treecreeper,,Certhia brachydactyla,A,†,,,,,
Grey Catbird,,Dumetella carolinensis,A,†,,,,,
Northern Mockingbird,,Mimus polyglottos,AE,†,,,,,
Brown Thrasher,,Toxostoma rufum,A,†,,,,,
Rose-coloured Starling,Rosy Starling,Pastor roseus,AE,,,,,,
Starling,Common Starling,Sturnus vulgaris,A,,,,,,
Siberian Thrush,,Geokichla sibirica,AE,†,,,,,
White's Thrush,,Zoothera aurea,A,†,,,,,
Varied Thrush,,Ixoreus naevius,A,†,,,,,
Veery,,Catharus fuscescens,A,†,,,,,
Grey-cheeked Thrush,,Catharus minimus,A,†,,,,,
Swainson's Thrush,,Catharus ustulatus,A,†,,,,,
Hermit Thrush,,Catharus guttatus,A,†,,,,,
Wood Thrush,,Hylocichla mustelina,A,†,,,,,
Ring Ouzel,,Turdus torquatus,A,,,,,,
Blackbird,Common Blackbird,Turdus merula,A,,,,,,
Eyebrowed Thrush,,Turdus obscurus,A,†,,,,,
Black-throated Thrush,,Turdus atrogularis,A,†,,,,,
Red-throated Thrush,,Turdus ruficollis,A,†,,,,,
Naumann's Thrush,,Turdus naumanni,A,†,,,,,
Dusky Thrush,,Turdus eunomus,A,†,,,,,
Fieldfare,,Turdus pilaris,A,,,,,,
Redwing,,Turdus iliacus,A,,,,,,
Song Thrush,,Turdus philomelos,A,,,,,,
Mistle Thrush,,Turdus viscivorus,A,,,,,,
American Robin,,Turdus migratorius,AE,†,,,,,
Rufous-tailed Scrub Robin,,Cercotrichas galactotes,A,†,,,,,
Spotted Flycatcher,,Muscicapa striata,A,,,,,,
Asian Brown Flycatcher,,Muscicapa dauurica,A,†,,,,,
Robin,European Robin,Erithacus rubecula,A,,,,,,
Siberian Blue Robin,,Larvivora cyane,A,†,,,,,
Rufous-tailed Robin,,Larvivora sibilans,A,†,,,,,
Bluethroat,,Luscinia svecica,A,,,,,,
Thrush Nightingale,,Luscinia luscinia,A,†,,,,,
Nightingale,Common Nightingale,Luscinia megarhynchos,A,‡,,,,,
White-throated Robin,,Irania gutturalis,A,†,,,,,
Siberian Rubythroat,,Calliope calliope,A,†,,,,,
Red-flanked Bluetail,,Tarsiger cyanurus,AE,,,,,,
Taiga Flycatcher,,Ficedula albicilla,A,†,,,,,
Red-breasted Flycatcher,,Ficedula parva,A,,,,,,
Pied Flycatcher,European Pied Flycatcher,Ficedula hypoleuca,A,‡,,,,,
Collared Flycatcher,,Ficedula albicollis,A,†,,,,,
Black Redstart,,Phoenicurus ochruros,A,‡,,,,,
Redstart,Common Redstart,Phoenicurus phoenicurus,A,,,,,,
Moussier's Redstart,,Phoenicurus moussieri,A,†,,,,,
Rock Thrush,Common Rock Thrush,Monticola saxatilis,A,†,,,,,
Blue Rock Thrush,,Monticola solitarius,AE,†,,,,,
Whinchat,,Saxicola rubetra,A,,,,,,
Stonechat,European Stonechat,Saxicola rubicola,A,,,,,,
Siberian Stonechat,,Saxicola maurus,A,†,,,,,
Stejneger's Stonechat,,Saxicola stejnegeri,A,†,,,,,
Wheatear,Northern Wheatear,Oenanthe oenanthe,A,,,,,,
Isabelline Wheatear,,Oenanthe isabellina,A,†,,,,,
Desert Wheatear,,Oenanthe deserti,A,†,,,,,
Western Black-eared Wheatear,,Oenanthe hispanica,A,†,,,,,
Eastern Black-eared Wheatear,,Oenanthe melanoleuca,A,†,,,,,
Pied Wheatear,,Oenanthe pleschanka,A,†,,,,,
White-crowned Black Wheatear,White-crowned Wheatear,Oenanthe leucopyga,A,†,,,,,
Dipper,White-throated Dipper,Cinclus cinclus,A,‡,,,,,
House Sparrow,,Passer domesticus,A,,,,,,
Spanish Sparrow,,Passer hispaniolensis,A,†,,,,,
Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,A,,,,,,
Rock Sparrow,,Petronia petronia,A,†,,,,,
Alpine Accentor,,Prunella collaris,A,†,,,,,
Siberian Accentor,,Prunella montanella,A,†,,,,,
Dunnock,,Prunella modularis,A,,,,,,
Yellow Wagtail,Western Yellow Wagtail,Motacilla flava,A,‡,,,,,
Eastern Yellow Wagtail,,Motacilla tschutschensis,A,†,,,,,
Citrine Wagtail,,Motacilla citreola,A,,,,,,
Grey Wagtail,,Motacilla cinerea,A,,,,,,
Pied Wagtail,White Wagtail,Motacilla alba,A,‡,,,,,
Richard's Pipit,,Anthus richardi,A,,,,,,
Blyth's Pipit,,Anthus godlewskii,A,†,,,,,
Tawny Pipit,,Anthus campestris,A,†,,,,,
Meadow Pipit,,Anthus pratensis,A,,,,,,
Tree Pipit,,Anthus trivialis,A,,,,,,
Olive-backed Pipit,,Anthus hodgsoni,A,,,,,,
Pechora Pipit,,Anthus gustavi,A,†,,,,,
Red-throated Pipit,,Anthus cervinus,A,†,,,,,
Buff-bellied Pipit,,Anthus rubescens,A,†,,,,,
Water Pipit,,Anthus spinoletta,A,,,,,,
Rock Pipit,Eurasian Rock Pipit,Anthus petrosus,A,,,,,,
Chaffinch,Common Chaffinch,Fringilla coelebs,AE,,,,,,
Brambling,,Fringilla montifringilla,A,,,,,,
Evening Grosbeak,,Hesperiphona vespertina,A,†,,,,,
Hawfinch,,Coccothraustes coccothraustes,A,,,,,,
Pine Grosbeak,,Pinicola enucleator,AE,†,,,,,
Bullfinch,Eurasian Bullfinch,Pyrrhula pyrrhula,A,,,,,,
Trumpeter Finch,,Bucanetes githagineus,AE,†,,,,,
Common Rosefinch,,Carpodacus erythrinus,A,,,,,,
Greenfinch,European Greenfinch,Chloris chloris,AE,,,,,,
Twite,,Linaria flavirostris,A,,,,,,
Linnet,Common Linnet,Linaria cannabina,A,,,,,,
Common Redpoll,,Acanthis flammea,A,,,,,,
Lesser Redpoll,,Acanthis cabaret,A,,,,,,
Arctic Redpoll,,Acanthis hornemanni,A,†,,,,,
Parrot Crossbill,,Loxia pytyopsittacus,A,,,,,,
Scottish Crossbill,,Loxia scotica,A,,,,,,
Crossbill,Red Crossbill,Loxia curvirostra,A,,,,,,
Two-barred Crossbill,,Loxia leucoptera,A,†,,,,,
Goldfinch,European Goldfinch,Carduelis carduelis,A,,,,,,
Citril Finch,,Carduelis citrinella,A,†,,,,,
Serin,European Serin,Serinus serinus,A,,,,,,
Siskin,Eurasian Siskin,Spinus spinus,A,,,,,,
Lapland Bunting,Lapland Longspur,Calcarius lapponicus,A,,,,,,
Snow Bunting,,Plectrophenax nivalis,A,,,,,,
Corn Bunting,,Emberiza calandra,A,,,,,,
Yellowhammer,,Emberiza citrinella,A,,,,,,
Pine Bunting,,Emberiza leucocephalos,A,†,,,,,
Rock Bunting,,Emberiza cia,A,†,,,,,
Ortolan Bunting,,Emberiza hortulana,AE,,,,,,
Cretzschmar's Bunting,,Emberiza caesia,A,†,,,,,
Cirl Bunting,,Emberiza cirlus,A,,,,,,
Chestnut-eared Bunting,,Emberiza fucata,A,†,,,,,
Little Bunting,,Emberiza pusilla,A,,,,,,
Yellow-browed Bunting,,Emberiza chrysophrys,A,†,,,,,
Rustic Bunting,,Emberiza rustica,A,†,,,,,
Yellow-breasted Bunting,,Emberiza aureola,AE,†,,,,,
Chestnut Bunting,,Emberiza rutila,A,†,,,,,
Black-headed Bunting,,Emberiza melanocephala,AE,†,,,,,
Black-faced Bunting,,Emberiza spodocephala,AE,†,,,,,
Pallas's Reed Bunting,,Emberiza pallasi,A,†,,,,,
Reed Bunting,Common Reed Bunting,Emberiza schoeniclus,A,,,,,,
Lark Sparrow,,Chondestes grammacus,A,†,,,,,
Dark-eyed Junco,,Junco hyemalis,AE,†,,,,,
White-crowned Sparrow,,Zonotrichia leucophrys,AE,†,,,,,
White-throated Sparrow,,Zonotrichia albicollis,AE,†,,,,,
Savannah Sparrow,,Passerculus sandwichensis,A,†,,,,,
Song Sparrow,,Melospiza melodia,AE,†,,,,,
Eastern Towhee,,Pipilo erythrophthalmus,A,†,,,,,
Bobolink,,Dolichonyx oryzivorus,A,†,,,,,
Baltimore Oriole,,Icterus galbula,AE,†,,,,,
Red-winged Blackbird,,Agelaius phoeniceus,A,†,,,,,
Brown-headed Cowbird,,Molothrus ater,A,†,,,,,
Ovenbird,,Seiurus aurocapilla,A,†,,,,,
Northern Waterthrush,,Parkesia noveboracensis,A,†,,,,,
Golden-winged Warbler,,Vermivora chrysoptera,A,†,,,,,
Black-and-white Warbler,,Mniotilta varia,A,†,,,,,
Tennessee Warbler,,Leiothlypis peregrina,A,†,,,,,
Common Yellowthroat,,Geothlypis trichas,A,†,,,,,
Hooded Warbler,,Setophaga citrina,A,†,,,,,
American Redstart,,Setophaga ruticilla,AE,†,,,,,
Cape May Warbler,,Setophaga tigrina,A,†,,,,,
Northern Parula,,Setophaga americana,AE,†,,,,,
Magnolia Warbler,,Setophaga magnolia,AE,†,,,,,
Bay-breasted Warbler,,Setophaga castanea,A,†,,,,,
Blackburnian Warbler,,Setophaga fusca,A,†,,,,,
Yellow Warbler,American Yellow Warbler,Setophaga aestiva,A,†,,,,,
Chestnut-sided Warbler,,Setophaga pensylvanica,A,†,,,,,
Blackpoll Warbler,,Setophaga striata,AE,†,,,,,
Yellow-rumped Warbler,Myrtle Warbler,Setophaga coronata,A,†,,,,,
Wilson's Warbler,,Cardellina pusilla,A,†,,,,,
Summer Tanager,,Piranga rubra,A,†,,,,,
Scarlet Tanager,,Piranga olivacea,A,†,,,,,
Rose-breasted Grosbeak,,Pheucticus ludovicianus,A,†,,,,,
Indigo Bunting,,Passerina cyanea,AE,†,,,,,
